"Applies to Edge Types","","","","","","","","","","","","","","","""Valid"" - Must put one of these values
""Recommened"" - Recommend this value but any value is accepted
""NA"" - not applicable because there isn't a contrained set of valid or recommened values (numbers, names, etc.)","List the Allowed/Recommended Values
(if applicable)
Use ""-"" + ""definition text"" and next line for adding a definition for a value","","","","","",""
"road","sidewalk","footpath","crossing","traffic_island","steps","escalator","bikeway","multi_use_path","trail","ramp","virtual_link","Name","Description","Type","Valid","Listed Values","Example","Provenance","OSM Mapping","Notes","Internal Notes","Proposal For Change"
"required","required","required","required","required","required","required","required","required","required","required","required","edge_id","A unique identifier for the edge. 

[NOTE: We will fill in instructions here on how to generate IDs, and we will also provide a data validator that may be capable of validating and helping to fill in these IDs.] ","ID","NA","","","OSW","id","","",""
"forbidden","optional","optional","optional","optional","optional","optional","required","required","optional","forbidden","required","road_associated","Specifies if the edge is adjacent or associated to a road.","Boolean","Valid","yes
no","","","","Might be able to be created through spatial analysis but intended to help add road attributes (street name, speeds, traffic volume) to the feature to aid with routing.","","Strike--true if reference_ids contain a road ref"
"optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","reference_ids","Can be used to add reference IDs to other datasources such as OSM, OpenLR, ARNOLD, HMPS, TIGER, Census road network, OSM, etc.). Should be an array of JSONs with the source name and ID pair. Each JSON should contain an ID field and source field at minimum. Can add other attributes such as the beginning and ending milepost from a linear referencing system.","Array<Object>","NA","","[ 
{ ""source"": ""OpenStreetMap"", ""id"": ""w1234"" }, 
{ ""source"": ""TIGER"", ""id"": ""110739476769"" } 
{ ""source"": ""ARNOLD"", ""id"": ""140"", ""begin_mi"": 2.3, ""end_mi"": 4.5}
] ","Overture's Source Field","","","Clarify: can this be used to align the geometry of e.g. a sidewalk edge with a road? Should it?",""
"required","optional
T2:required","optional","optional
T2:required","optional","optional","optional","optional
T2:recommended","optional
T2:recommended","optional
T2:recommended","forbidden","forbidden","street_name","Specifies the name of a road or the road associated with the edge, such as the street along which a sidewalk or cycleway runs. In many cases, routing engines can fill in the closest street name for travelers to see. Use this field to specify the associated street explicitly or to correct an error within routing engines. ","Text","NA","","""Maple Avenue""","","","","",""
"forbidden","optional","optional","optional","optional","optional","optional","optional
T2:recommended","optional
T2:recommended","optional
T2:recommended","forbidden","forbidden","facility_name","The common name for this edge, by which travelers might recognize it. ","Text","NA","","""Atlanta Beltline"", ""Washington and Old Dominion Trail"", ""Minutemen Bikeway"", ""Lenape Trail"", ""East Coast Greenway""","","","","Makes sense but ill-defined?",""
"required","required","required","required","required","required","required","required","required","required","required","required","edge_type","Identifies the edge type. Also used for assigning attributes that need to be filled in.","Enum","Valid","(Same as Edge Types)","","","","","",""
"optional
T2:required","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","optional
T2:required","optional
T2:required","optional
T2:required","optional
T2:required","optional
T2:required","from_node","This field is used to identify the node where an edge begins. This information is needed for routing. Value needs to be from the nodes table in the node ID field.","ID","NA","","","OSW","node id","If not set, implementers should try a spatial join to the nodes table to attempt to resolve.","Clarify: if this is set but the spatial data doesn't align with the node specified, which controls?",""
"optional
T2:required","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","optional
T2:required","optional
T2:required","optional
T2:required","optional
T2:required","optional
T2:required","to_node","This field is used to identify the node where an edge ends. This information is needed for routing. Value needs to be from the nodes table in the node ID field.","ID","NA","","","OSW","node id","If not set, implementers should try a spatial join to the nodes table to attempt to resolve.","Clarify: if this is set but the spatial data doesn't align with the node specified, which controls?",""
