"Name","Location","Description","Coords (Lat, Lon)","Google Maps (need to have the lat lon autopopulate these)","OpenStreetMap","Overture Maps"
"Davis Intersection","Davis, CA","Four way signalized intersection with mode restrictions","38.546451112642124, -121.7705842039391","https://maps.app.goo.gl/hSwDLJ7kFZuNCGUr5","OpenStreetMap",""
"Oakland Protected Intersection","Oakland, CA","Protected intersection with bike lane that goes up to sidewalk level","37.81189265953002, -122.26902200028165","https://maps.app.goo.gl/sBNFUnj1KLAA2tRr7","OpenStreetMap",""
"Page / Market Intersection","San Francisco, CA","Large intersection with complicated bike movements","37.77423165777884, -122.42068623871818","https://maps.app.goo.gl/xfzSAZ43mFM7htfs8","OpenStreetMap",""
"North American Street","Philadelphia","Weird center running bike lanes","","","OpenStreetMap","https://explore.overturemaps.org/#20.22/39.9768103/-75.1392711"
"Freedom Parkway Trail","Atlanta, GA","Mutli-use trail with poor connectivity to cross street","","https://maps.app.goo.gl/KDFpGSXQLcrBu1ev8","OpenStreetMap",""
"10th St","San Jose, CA","Complex intersection with protected bike lanes and two-stage turn box, seperated road with street parking? The entire street is fascinating","37.351490, -121.889116","https://maps.app.goo.gl/LTWeyAwz1DWdXef69","OpenStreetMap",""
"5th and W Peachtree","Atlanta, GA","Pocket left turn lane","","https://maps.app.goo.gl/wgGcGN1rfGdZF8B66","OpenStreetMap",""
"Mass Ave / Bates Road","Arlington, MA","Bike lane between thru and right turn lane on one street, no explicit bike accommodation on the cross street","42.408561, -71.145837","","OpenStreetMap",""
"Mass Ave / Thorndike Street","Arlington, MA","Eastbound bike/parking lane, but bike / bus lane during AM peak period","42.40267485046612, -71.13837228237739","","OpenStreetMap",""
"Minuteman Bikeway / Washington Street","Arlington, MA","Unpaved two-way narrow road, open to all users; connects to shared use path","42.422420269237854, -71.16903560028538","","OpenStreetMap",""
"Somerville Ave / Beacon Street","Somerville, MA","Complex intersection with bike lane between right turn and thru lane","42.38709161180797, -71.11651721863116","","OpenStreetMap",""
"JFK and Kezar","San Francisco, CA","Weird center running bike lane that you have to cross two travel lanes with only a yield sign","","https://maps.app.goo.gl/kSxRSrbFMmY8C5JNA","OpenStreetMap",""
"14st Street Northwest, Park Road, and Kenyon","Washington, DC","fast-moving traffic on 14th, desperate cars trying to cross or turn on, traffic signals in a few directions, and a lot of bike, scooter and e-bike traffic that bounces between the bike lane, car lanes and sidewalk","38.930227, -77.032772","https://maps.app.goo.gl/QnHyjWEFq3mPFuoi8","https://www.openstreetmap.org/search?query=target+columbia+heights&zoom=18&minlon=-122.34872817993165&minlat=47.62022694139077&maxlon=-122.3404884338379&maxlat=47.6226675772208#map=20/38.9302254/-77.0325574&layers=Y",""
"Broadway Roudabout","Everett, MA","Large roudabout that's also an overpass","42.402480, -71.060586","https://maps.app.goo.gl/reMsoPQDb4Yh9PJJA","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"Note: auto create urls with the coords https://stackoverflow.com/questions/2660201/what-parameters-should-i-use-in-a-google-maps-url-to-go-to-a-lat-lon","","","","","",""
