"Maturity Level >>","0","1","2","3","Notes"
"Headline Description","On-Ramp","Good","Better","Best",""
"Example","","","","",""
"Target User","Dabbler

Aspire to do better","Follower of basic practices

Aspire to do better","Follower of best practices

""I feel confident where I am""
""Things are good enough, I get my work done as-is""","Leader--defines best practice

""I'm a visionary""",""
"How important is it we get this level right in v1 of the spec?","Pretty--""inspire me!""

Probably resource constrained","Pretty--""inspire me!""

Probably our main target re: potential to improve","Less so 
","Not very--we should borrow from these orgs

Work to pilot new things with these folks?

Probably well resourced",""
"Likely Data Sources?","OSM?","OSM?","Mix of commercial and internal?
","Mix of commercial and internal

Possibly crowdsourced--license issues? Overture?",""
"Likely Tools?","Only free/open sourced?
JOSM, ID (OSM)
QGIS
Desktop tools","Mostly desktop tools

Some SaaS","","Open sourced infrastructure--esp. for data?

Big GIS/ESRI  
Big EAMs
Public cloud (AWS/Google/Azure)",""
"","","","","",""
"Likely Needs/Use Cases","","","","",""
"Asset Inventory","","","","",""
"  Catalog Facilities","Catalog existing facilities, possibly starting from existing crowd-sourced data, e.g. from OSM
","","An export of the SoR that has updates made to it

Vetted","Is equal to system of record",""
"  Project Prioritization","Seek to make targeted arguments about projects only; contribute to existing process","Mostly politically driven, with some data sprinkles thrown in","Data-driven","Analytics-driven",""
"Routing","","","","",""
"  Interactive Routing","""System Maps"" Only
- Creation of paper or digital versions of historically what would have been paper maps, e.g. for recreation or transit “system maps”. 
- Where will I feel safe/comfortable riding my bike and where will I not? (slope, level of traffic stress, etc)
","Basic Accessibility Routing, Interactive","","Detailed user preferences
Detailed routing instructions",""
"  Walkscoring","","","","Yes",""
"  Accessibiity Sheds","No","No","Yes","Yes",""
"  Ped Friendly Index/Stress Analysis","","Basic","Enough to display sheds based on user preferences
","Enough to display sheds based on user preferences
",""
"","","","","",""
"Data Attributes","","","","",""
"Spatial Accuracy","Human observations, minimally trained volunteers

Aggregated data from public sources which may vary in quality","","","All values measured by LIDAR/GPS?

Observations by infrastructure owner staff (trained)

Controlled collection processes",""
"Update Interval/Recency","None; ad-hoc","None; ad-hoc","Yearly?","Regular, updates are automated from SoRs. 

No more than monthly?

Can query the system in realtime?",""
"Linkage to System of Record (SoR)","No","No","Recommended","Yes","OSM User Editng (technically an API call), 511 submission sites"
"Clear Ownership","No","Recommended","Recommended","Yes",""
"Means by which to submit corrections to data","Optional

Vetting process undefined or non-existent","Recommended","Required

Defined workflow to vet.","Required. 

Via API? Defined workflow to vet.",""
"Human Vetting","Crowdsourced","","Some vetting by infrastructure-owner","100% vetted by infrastructure owner. 

Equals the system of record.",""
"Coverage/Gaps","Not complete. ""Unknown unknowns"" exist.","Not complete. ""Unknown unknowns"" exist.","Mostly complete. Areas without complete data are identified","Complete. ""What isn't in the data doesn't exist in the world.""",""
"","","","","",""
"Connectedness of Network/Routability (""General Routing Rediness"")","None-minimal

Assumptions may need to be made in places re: connections between networks and/or edges and/or re: accessibility

Example: a roadway centerline which has no topology or intersection connectivity (except spatially)
","Routable ""islands"" of mapped infrastructure may exist. 

Regional routability must connect multiple networks via post-processing--e.g. sidewalk must connect to road in certain places, road data may not be in the spec'd dataset

Example: Centerline that is routeable
","Mostly routable, but may lack LoS or accessibillity attributes to aid in connection between networks?

Maybe: ""routable but doesn't follow NC-BPAID specifications :D""
","Routable bike/ped networks with at least distinct geometries where they diverge from other features (e.g. the road), or linked to the geometry of the road where necessary. 

Defined attributes, e.g. policy or LoS, to route onto adjacent networks, e.g. bike network to road, where applicable/necessary. 

Connections between networks are explicit. ","Need to integrate with the below"
"General Routing Readiness (DRAFT)","By itself, likely uroutable. Maybe: No routing specification followed during the development of the dataset or entry of geometries

Has disconnected ""islands"" of infrastructure that may be routable within the ""island"", but connecting between islands may require using transit/roads/paths that may not be within the dataset, and/or are other modes: e.g. roads or transit

Connections between the networks may be inferred, e.g. by crossing or spatial attributes

Example: a roadway centerline which has no topology or intersection connectivity (except spatially)

","""Islands"" of infrastructure may be routable (with defined connections), but regional routing may require other datasets 

Connections between the networks may be inferred

Maybe: logically reflective of world, but geometry of path or facility attributes doesn't necessarily reflect real-world or produce meaningful results

Example: Centerline that is routeable","Routable but routing is not aware of real world disconnected/barriers that apply to pedestrian or bicycle use-cases

aware of uncertainty in data

Maybe: ""routable but doesn't follow NC-BPAID specifications :D""

","Completely routable, follows NC-BPAID, no other network featues or attributes needed for routing from point A to point B.

Supports nuanced, inter-modal routing decisions across all network features ('street', 'sidewalk', ''bike lane', etc) that can accurately represent street and sidewalk conditions and provide intuitive insight into the network from an 'all-ages all-abilities' perspective","Moved from ""routability sheet"" to here"
"Other Dataset Linkages 
(to aid conflation)","None, spatial operations only","TMC segments?
OSM ids?","Asset IDs (for making corrections)","Asset IDs (for making corrections)","Asset IDs (for making corrections)"
"Cohesion / ease of conflation with other network datasets / interoperability?","Attributes joined to other (typically road-centerline) network graphs via simple overlap and require post-processing to remove false positives/negatives.

Example: Bicycle facilities represented as simple lines that only generally follow where the bicycle facilities are. Line nodes are not strategically placed at intersections.","","","Network is completely referenced to a larger network graph? Requires minimal effort to conflate with referenced network graph but may require more effort to conflate with other sources.

Example: Spec data developed alongside OSM and features are referenced/connected with OSM features. Would be relatively straightforward to join back to OSM but might be dififcult to join to a new municipal/licensed network dataset.","Moved from ""routability sheet"" to here"
"","","","","",""
"Bike","","","","",""
"Scope","Bicycle facilities only","","","Streets",""
"Routability","May be attribute on a road centerline, may not reflect actual geometry of infrastructure

May not include a value for each direction of travel  (eg, to/from or right/left)

Decisions to switch, e.g. from sidewalk to road, left to user applications

Resolution of segmentation may not accurately reflect changing attributes of facilities (expand on this more?)","May be attribute on a road centerline, may not reflect actual geometry of infrastructure

Zone-based policies on when it is permitted/encouraged to switch from one network to another--e.g. arterial roads are suitable for biking in this area

Decisions to switch, e.g. from sidewalk to road, left to user applications

Network is properly segmented, e.g. when attributes change on a segment","Mostly spatially accurate, e.g. geometry diverges from road if infrastructure does (shared-use pathway, relevant separated bike lanes / sidepaths represented as seperate features)

Basic LOS measures to help applications know when to route onto other networks?","Spatially accurate, e.g. geometry diverges from road if infrastructure does

""Access policy"" available for when shared use paths can be used for biking (for example)

LOS measures available for user applications to use when evaluating alternatives, e.g. switching from sidewalk to road

Should we encourage separate storage of bike/ped network attributes, even when geometry isn't separate?","Moved from ""routability sheet"" to here"
"Accessibility Attribute Sets","","","PROWAG?","",""
"LoS Measures","Dedicated infrastructure yes/no?
Protected yes/no?","","","Type of protection, usable width of facility (accounting for door zone and gutters)",""
"Turn Restrictions","Crowdsourced only--no lane specific data","","","Yes--for detailed route guidance and LoS",""
"","","","","",""
"Ped","","","","",""
"Routability","May be attribute on a road centerline, may not reflect actual geometry of infrastructure (spatially, does re: connections)

Or sidewalk represented as seperate geometry features, but they have no topology (i.e. connections via crosswalks)

Decisions to switch, e.g. from sidewalk to road, left to user applications","May be attribute on a road centerline, may not reflect actual geometry of infrastructure

Or sidewalk represented as seperate geometry features, but they have no topology (i.e. connections via crosswalks)

Zone-based policies on when it is permitted/encouraged to switch from one network to another--e.g. arterial roads are suitable for walking along the shoulder in this area


LOS measures are sufficient to make ""reasonable person"" decisions on when to switch to other networks, e.g. road from sidewalk when sidewalk ends","Mostly spatially accurate, e.g. geometry diverges from road if infrastructure does

Sidewalks represented as seperate geometry features and some level of topology and routing ability exists, e.g. within ""islands"" of mapped sidewalks","Spatially accurate, e.g. geometry diverges from road if infrastructure does

LOS and/or accessibility measures are sufficient to make ""reasonable person"" decisions on when to switch to other networks, e.g. road from sidewalk when sidewalk ends

Should we encourage separate storage of bike/ped network attributes, even when geometry isn't separate?","Moved from ""routability sheet"" to here"
"Accessibility Attribute Sets","OSW minimums?","OSW minimums++","PROWAG?","""Advanced""--TBD",""
"Accessibility Attribute Sets -- additional version","Curb ramps only as nodes, with nodes only appearing where curb ramps exist; sidewalk centerline","Curb ramps with ADA compliance status yes/no; Sidewalk centerline with width, slope, surface type","Curb ramps with ADA compliance status yes/no and ADA features (slope, cross slope, width, raised dome surface, contrast color); Sidewalk centerline with width, slope with from / to, surface type, cross slope, trip hazards / gaps (segment level), obstructions (segment level), passing zones (yes / no, segment level if width < 36” ), signals (yes / no), stairs / other potentially impassable stretches (segment level)","Curb ramps with ADA compliance status yes/no, ADA features (slope, cross slope, width, raised dome surface, contrast color) and additional attributes (level with street / sidewalk surface, angle, obstruction width); Sidewalk centerline with width, slope with from / to, surface type, cross slope, trip hazards / gaps (node / event), trip hazards / gaps type, obstructions (node / event), obstructions type, usable width at obstruction, passing zones (node / event), seasonal factor, slipping hazards, signals (type), stairs / other potentially impassable stretches (node / event), noise exposure, barriers / traffic separation, amenities (ex. benches) [many attributes here – track what is meaningful locally]",""
"LoS Measures","","","","""Advanced""--TBD

- ""Pollin8"" 
- Smart Access (NZ)
https://viastradanz.sharepoint.com/:p:/g/Eew1wKtacS5FmDNIEbF0q3EB4oUsOxk0BAOnjdxeuTqA-w?e=eF9468
https://www.nzrecreation.org.nz/outdoors-accessibility-design-guidelines",""
"","Sidewalk centerline","Sidewalk centerline with width, slope, surface type","","",""
