"Node Type","Tier","Required","Recommended"
"virtual","Tier 1","--","--"
"","Tier 2","--","--"
"","Tier 3","node_id, node_type","curb_type, rail_crossing"
"","Tier 4","node_id, node_type","curb_type, rail_crossing"
"curb_ramp","Tier 1","node_id, node_type","--"
"","Tier 2","node_id, node_type","date_built, check_date, ada_compliance, status"
"","Tier 3","node_id, node_type, incline, cross_slope, width, detectable_warning, status","date_built, check_date, ada_compliance, ramp_type, impediment, surface_issue"
"","Tier 4","node_id, node_type, incline, cross_slope, width, detectable_warning, impediment, surface_issue, status","date_built, check_date, ada_compliance, ramp_type"
"ramp","Tier 1","--","--"
"","Tier 2","node_id, node_type","ada_compliance"
"","Tier 3","node_id, node_type, incline, cross_slope, width, detectable_warning","date_built, check_date, ada_compliance, impediment, surface_issue, status"
"","Tier 4","node_id, node_type, incline, cross_slope, width, detectable_warning, impediment, surface_issue, status","date_built, check_date, ada_compliance"
"elevator","Tier 1","--","--"
"","Tier 2","--","--"
"","Tier 3","node_id, node_type","date_built, check_date, ada_compliance, status"
"","Tier 4","node_id, node_type, status","date_built, check_date, ada_compliance"
"transit_stop","Tier 1","--","--"
"","Tier 2","--","--"
"","Tier 3","--","stop_id, stop_code"
"","Tier 4","--","stop_id, stop_code"
"issue","Tier 1","--","--"
"","Tier 2","--","--"
"","Tier 3","node_id, node_type","check_date, impediment, surface_issue"
"","Tier 4","node_id, node_type, impediment, surface_issue","check_date"
"traffic_calming","Tier 1","--","--"
"","Tier 2","--","--"
"","Tier 3","node_id, node_type","date_built, check_date, traffic_calming_type"
"","Tier 4","node_id, node_type, traffic_calming_type","date_built, check_date"
