"Applies to Node Types","","","","","""Valid"" - Must put one of these values
""Recommened"" - Recommend this value but any value is accepted
""NA"" - not applicable because there isn't a contrained set of valid or recommened values (numbers, names, etc.)","List the Allowed/Recommended Values
(if applicable)
Use ""-"" + ""definition text"" and next line for adding a definition for a value","Example
(optional but include if helpful)","","","","",""
"object","point","Name","Description","Type","Valid","Listed Values","Example","Provenance","OSM Mapping","Notes","Internal Notes","Proposal For Change"
"required","required","point_id","A unique identifier for the point. 

[NOTE: We will fill in instructions here on how to generate IDs, and we will also provide a data validator that may be capable of validating and helping to fill in these IDs.] ","ID","NA","","","","","","",""
"required","required","point_type","Indicates the type of point.","Enum","Valid","[Same as Point Types]","","","","","",""
"optional
T3:recommended","forbidden","object_type","Used to indicate objects that appear near the sidewalk or street space that, depending on the traveler, may be an amenity or an obstruction. Buffers around these points can be used to factor them into routing algorithms. If an object is on the pedestrian way, consider marking it with an issue node instead.","Text","Recommended","bench, lighting, waste basket, accessible restroom, inaccessible restroom, water fountain, parklet / kiosk, pet station, transit stop ","","","","","Break out accessible into its own field?

Just applicable to type=object?",""
"optional","optional","reference_ids","Can be used to add reference IDs to other datasources such as OSM, OpenLR, ARNOLD, HMPS, TIGER, Census road network, OSM, etc.). Should be an array of JSONs with the source name and ID pair. Each JSON should contain an ID field and source field at minimum. Can add other attributes such as the beginning and ending milepost from a linear referencing system.","Array<Object>","NA","","[ 
{ ""source"": ""OpenStreetMap"", ""id"": ""w1234"" }, 
{ ""source"": ""TIGER"", ""id"": ""110739476769"" } 
{ ""source"": ""ARNOLD"", ""id"": ""140"", ""begin_mi"": 2.3, ""end_mi"": 4.5}
] ","Overture's Source Field","","","",""
"forbidden","optional
T3:recommended","sign_verbiage","Provides the text that appears on the sign. Include only the visible text, and do not wrap it in quotation marks or other punctuation.","Text","NA","","State law: Stop for pedestrians in crosswalk","","","","Just applicable to type=sign?",""
"forbidden","optional
T3:recommended","sign_auditory","Indicates whether the sign_verbiage or another similar message is available in an auditory format at the sign location.","Boolean","NA","Yes, no","","","","","Just applicable to type=sign?",""
"forbidden","optional","sign_association","Indicates the GATIS ID of any infrastructure this sign refers to. For example, if a sign tells pedestrians that state law requires vehicles to yield to them in the crosswalk, this attribute can be used to indicate the GATIS ID of the specific crosswalk or crosswalks.","Array<Object>","NA","","[12345, 23456]","","","","Just applicable to type=sign?",""
"forbidden","optional","sign_designation","Indicates the type of sign as described within the MUTCD, within the ""Sign Designation"" field (https://mutcd.fhwa.dot.gov/kno-shs_2024-release-status/index.htm). ","Text","","","R9-5","","","","Just applicable to type=sign?",""
"forbidden","optional","sign_name","Indicates the type of sign as described within the MUTCD, within the ""Sign Name"" field (https://mutcd.fhwa.dot.gov/kno-shs_2024-release-status/index.htm). ","Text","","","Bicycles Use Pedestrian Signal","","","","Just applicable to type=sign?",""
"forbidden","optional
T3:recommended
T4:required","surface_issue","Identifies the type of damage or surface quality issue that may pose a challenge for travelers.  ","Array<Enum>","Valid","cracking, scaling, spalling, uneven / displacement, frequent water pooling, heaving, missing bricks / stones, grates / utility covers / other surface impediments, potholes / holes, slickness, uneven joints, markings worn / missing, detectable warning surface damage, other","","Array<Enum>","Valid","","Just applicable to type=issue?",""
"impediment","Identifies the type of object that may pose a challenge for travelers passing through the area. Mark an issue with a node only if it is close enough to the footpath or pedestrian way to potentially pose a challenge. “Horizontal overgrowth” refers to temporary obstruction at ground level, such as bushes or plants. “Vertical overgrowth” refers to temporary obstruction between 25-80"" high, such as a branch or limb. “Fixed vertical obstruction” refers to a permanent obstruction between 25-80"" high, such as a sign. “Solid fixed object” includes street furniture, planters and other objects that cannot be difficult to navigate around and are within the pedestrian way. “Flexible fixed object” refers to bollards and other objects that some travelers may be able to navigate around and that are within the pedestrian way. “Protrusion” refers to objects of any type that are primarily located out of the pedestrian way but have some portion of them that sticks out into the pedestrian space.","impediment","Identifies the type of object that may pose a challenge for travelers passing through the area. Mark an issue with a node only if it is close enough to the footpath or pedestrian way to potentially pose a challenge. “Horizontal overgrowth” refers to temporary obstruction at ground level, such as bushes or plants. “Vertical overgrowth” refers to temporary obstruction between 25-80"" high, such as a branch or limb. “Fixed vertical obstruction” refers to a permanent obstruction between 25-80"" high, such as a sign. “Solid fixed object” includes street furniture, planters and other objects that cannot be difficult to navigate around and are within the pedestrian way. “Flexible fixed object” refers to bollards and other objects that some travelers may be able to navigate around and that are within the pedestrian way. “Protrusion” refers to objects of any type that are primarily located out of the pedestrian way but have some portion of them that sticks out into the pedestrian space.","Array<Text>","Valid","yes, no, horizontal overgrowth, vertical overgrowth, fixed vertical obstruction, solid fixed object, flexible fixed object, protrusion, turning space missing or issue, detectable warning not aligned with crossing, push button not working, other","","","","","Just applicable to type=issue?",""
"forbidden","forbidden","gtfs_id","An array of objects containing keys for GTFS agency_id and stop_id from an existing GTFS dataset for this transit stop. Represent as string with the format ""{agency_id},{stop_id}"". These IDs can be crosswalked with GTFS and TIDES data to obtain additional stop attributes and connect to the broader transit network. See GTFS documentation for more information.","Array<Object>","NA","","[{""agency_id"": ""1234"", ""stop_id"":""5678""}]","Array<Object>","NA","","Just applicable to type=transit_stop?",""
"","","other_issue","Identifies whether this point marks another type of issue that may pose a challenge for travelers, besides impediments and surface damage. Includes design, construction and other issue types.","Enum","","yes, no, detectable warning not aligned with crossing, push button not working, markings worn, markings missing, turning space missing, other","","","","","Applicable only for issue point",""
"","","impediment","Identifies the presence of an object that may pose a challenge for travelers passing through this point. Mark with this attribute only if the impediment is close enough to the footpath/pedestrian way or bike path to potentially pose a challenge. If left blank, the assumed value for this attribute is “unknown.”","Array<Enum>","Valid","yes, no, low overgrowth (lower than 27""), high overgrowth (27"" or higher), sign, low protrusion (lower than 27""), high protrusion (27"" or higher), utility cover, stormwater grate, metal plate, metal decking (ex. on bridges), other surface impediment, other impediment ","","","","","Applicable only for issue point",""
"","","surface_issue","Description of surface quality issues that may pose a challenge for travelers passing through this point.","Array<Enum>","Valid","yes, no, cracking, scaling, spalling, uneven, frequent water pooling, heaving, missing bricks/stones, potholes/holes, slickness, detectable warning surface damage, longitudinal cracks and seams, metal plates, other","","","","","Applicable only for issue point",""
