"TIER 1","","","","","","","","","","",""
"Name","road","sidewalk","footpath","crossing","traffic_island","steps","escalator","bikeway","mutli_use_path","trail","virtual_link"
"edge_id","required","required","required","required","required","required","required","required","required","required","required"
"road_associated","forbidden","required","required","required","required","required","required","required","required","required","required"
"edge_type","required","required","required","required","required","required","required","required","required","required","required"
"directionality","required","required","required","required","required","required","required","required","required","required","required"
"width","optional","required","required","required","required","optional","optional","optional","required","optional","forbidden"
"bikeway_type","required","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","required","forbidden","forbidden","forbidden"
"","","","","","","","","","","",""
"TIER 2","","","","","","","","","","",""
"Name","road","sidewalk","footpath","crossing","traffic_island","steps","escalator","bikeway","mutli_use_path","trail","virtual_link"
"edge_id","required","required","required","required","required","required","required","required","required","required","required"
"road_associated","forbidden","required","required","required","required","required","required","required","required","required","required"
"edge_type","required","required","required","required","required","required","required","required","required","required","required"
"from_node","required","required","required","required","required","required","required","required","required","required","required"
"to_node","optional","required","required","required","required","required","required","required","required","required","required"
"directionality","required","required","required","required","required","required","required","required","required","required","required"
"width","optional","required","required","required","required","optional","optional","required","required","optional","forbidden"
"width_min","optional","required","required","required","required","optional","optional","optional","required","optional","forbidden"
"bikeway_type","required","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","required","forbidden","forbidden","forbidden"
"separation_elements","optional","optional","optional","optional","optional","optional","optional","required","required","optional","forbidden"
"separation_permeable_car","optional","optional","optional","optional","optional","optional","optional","required","required","optional","forbidden"
"markings_additional","forbidden","forbidden","forbidden","required","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden"
"handrail","forbidden","forbidden","forbidden","forbidden","forbidden","required","forbidden","forbidden","forbidden","forbidden","forbidden"
"","","","","","","","","","","",""
"TIER 3","","","","","","","","","","",""
"Name","road","sidewalk","footpath","crossing","traffic_island","steps","escalator","bikeway","mutli_use_path","trail","virtual_link"
"edge_id","required","required","required","required","required","required","required","required","required","required","required"
"road_associated","forbidden","required","required","required","required","required","required","required","required","required","required"
"edge_type","required","required","required","required","required","required","required","required","required","required","required"
"from_node","required","required","required","required","required","required","required","required","required","required","required"
"to_node","optional","required","required","required","required","required","required","required","required","required","required"
"directionality","required","required","required","required","required","required","required","required","required","required","required"
"width","optional","required","required","required","required","optional","optional","required","required","optional","forbidden"
"width_min","optional","required","required","required","required","optional","optional","required","required","optional","forbidden"
"bikeway_type","required","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","required","forbidden","forbidden","forbidden"
"bikeway_grade_separation","optional","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","required","forbidden","forbidden","forbidden"
"separation_elements","optional","optional","optional","optional","optional","optional","optional","required","required","optional","forbidden"
"separation_permeable_car","optional","optional","optional","optional","optional","optional","optional","required","required","optional","forbidden"
"markings_additional","forbidden","forbidden","forbidden","required","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden"
"handrail","forbidden","forbidden","forbidden","forbidden","forbidden","required","forbidden","forbidden","forbidden","forbidden","forbidden"
"wheel_channel","forbidden","forbidden","forbidden","forbidden","forbidden","required","forbidden","forbidden","forbidden","forbidden","forbidden"
"","","","","","","","","","","",""
"TIER 4","","","","","","","","","","",""
"Name","road","sidewalk","footpath","crossing","traffic_island","steps","escalator","bikeway","mutli_use_path","trail","virtual_link"
"edge_id","required","required","required","required","required","required","required","required","required","required","required"
"road_associated","forbidden","required","required","required","required","required","required","required","required","required","required"
"edge_type","required","required","required","required","required","required","required","required","required","required","required"
"from_node","required","required","required","required","required","required","required","required","required","required","required"
"to_node","optional","required","required","required","required","required","required","required","required","required","required"
"directionality","required","required","required","required","required","required","required","required","required","required","required"
"width","optional","required","required","required","required","optional","optional","required","required","optional","forbidden"
"width_min","optional","required","required","required","required","optional","optional","required","required","optional","forbidden"
"bikeway_type","required","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","required","forbidden","forbidden","forbidden"
"bikeway_grade_separation","optional","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","required","forbidden","forbidden","forbidden"
"separation_elements","optional","optional","optional","optional","optional","optional","optional","required","required","optional","forbidden"
"separation_permeable_car","optional","optional","optional","optional","optional","optional","optional","required","required","optional","forbidden"
"markings_additional","forbidden","forbidden","forbidden","required","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden"
"handrail","forbidden","forbidden","forbidden","forbidden","forbidden","required","forbidden","forbidden","forbidden","forbidden","forbidden"
"wheel_channel","forbidden","forbidden","forbidden","forbidden","forbidden","required","forbidden","forbidden","forbidden","forbidden","forbidden"
